symbol,name,matched_keyword,reason_category,asset_group
AIPI,REX AI Equity Premium Income ETF,premium income,covered_call_option_income,Bond
APRH,Innovator Premium Income 20 Barrier ETF - April,premium income,covered_call_option_income,Other
APRJ,Innovator Premium Income 30 Barrier ETF - April,premium income,covered_call_option_income,Other
BALI,iShares U.S. Large Cap Premium Income Active ETF,premium income,covered_call_option_income,Factor / Style
BALQ,iShares Nasdaq Premium Income Active ETF,premium income,covered_call_option_income,Other
BITA,iShares Bitcoin Premium Income ETF,premium income,covered_call_option_income,Crypto
BITY,Amplify Bitcoin 2% Monthly Option Income ETF,option income,covered_call_option_income,Crypto
BPI,Grayscale Bitcoin Premium Income ETF,premium income,covered_call_option_income,Crypto
BUCK,Simplify Treasury Option Income ETF,option income,covered_call_option_income,Bond
CEPI,REX Crypto Equity Premium Income ETF,premium income,covered_call_option_income,Crypto
DDDD,YieldMax U.S. Stocks Target Double Distribution ETF,yieldmax,covered_call_option_income,Other
ETTY,Amplify Ethereum 3% Monthly Option Income ETF,option income,covered_call_option_income,Crypto
FEPI,REX FANG & Innovation Equity Premium Income ETF,premium income,covered_call_option_income,Bond
FIXP,FolioBeyond Enhanced Fixed Income Premium ETF,income premium,covered_call_option_income,Bond
GPIQ,Goldman Sachs Nasdaq-100 Premium Income ETF,premium income,covered_call_option_income,Bond
GPIX,Goldman Sachs S&P 500 Premium Income ETF,premium income,covered_call_option_income,Bond
HEMI,Hartford Equity Premium Income ETF,premium income,covered_call_option_income,Bond
JANH,Innovator Premium Income 20 Barrier ETF - January,premium income,covered_call_option_income,Other
JANJ,Innovator Premium Income 30 Barrier ETF - January,premium income,covered_call_option_income,Other
JEPI,JPMorgan Equity Premium Income ETF,premium income,covered_call_option_income,Bond
JEPQ,JPMorgan Nasdaq Equity Premium Income ETF,premium income,covered_call_option_income,Bond
JULH,Innovator Premium Income 20 Barrier ETF - July,premium income,covered_call_option_income,Other
JULJ,Innovator Premium Income 30 Barrier ETF - July,premium income,covered_call_option_income,Other
KHPI,Kensington Hedged Premium Income ETF,premium income,covered_call_option_income,Bond
MSST,YieldMax MSTR Performance & Distribution Target 25 ETF,yieldmax,covered_call_option_income,Other
NVIT,YieldMax NVDA Performance & Distribution Target 25 ETF,yieldmax,covered_call_option_income,Other
OCTH,Innovator Premium Income 20 Barrier ETF - October,premium income,covered_call_option_income,Other
OCTJ,Innovator Premium Income 30 Barrier ETF - October,premium income,covered_call_option_income,Other
ODTE,VegaShares SPX NDX RTY Premium Income ETF,premium income,covered_call_option_income,Bond
PAPI,Parametric Equity Premium Income ETF,premium income,covered_call_option_income,Bond
RDTY,YieldMax R2000 0DTE Covered Strategy ETF,yieldmax,covered_call_option_income,Other
SCEP,Sterling Capital Hedged Equity Premium Income ETF,premium income,covered_call_option_income,Bond
SEPI,Shelton Equity Premium Income ETF,premium income,covered_call_option_income,Bond
SOLM,Amplify Solana 3% Monthly Option Income ETF,option income,covered_call_option_income,Bond
SPIN,State Street US Equity Premium Income ETF,premium income,covered_call_option_income,Bond
SPUT,Innovator Equity Premium Income - Daily PutWrite ETF,premium income,covered_call_option_income,Other
TCAL,T. Rowe Price Capital Appreciation Premium Income ETF,premium income,covered_call_option_income,Bond
TEST,YieldMax TSLA Performance & Distribution Target 25 ETF,yieldmax,covered_call_option_income,Other
THOR,Thornburg Premium Income Builder ETF,premium income,covered_call_option_income,Other
TLTP,Amplify TLT U.S. Treasury 12% Option Income ETF,option income,covered_call_option_income,Bond
WEEL,Peerless Option Income Wheel ETF,option income,covered_call_option_income,Other
WTPI,WisdomTree Equity Premium Income Fund,premium income,covered_call_option_income,Other
XLBI,State Street Materials Select Sector SPDR Premium Income ETF,premium income,covered_call_option_income,Bond
XLCI,State Street Communication Services Select Sector SPDR Premium Income ETF,premium income,covered_call_option_income,Bond
XLEI,State Street Energy Select Sector SPDR Premium Income ETF,premium income,covered_call_option_income,Bond
XLFI,State Street Financial Select Sector SPDR Premium Income ETF,premium income,covered_call_option_income,Bond
